"camera Name	",not being in acceptaptable eyesight range,being in acceptaptable eyesight range(50 degree),C column+line of sight,steps Number
camera (1),0,1,0.96875,32
camera (2),0,1,0.96875,32
camera (3),0,1,0.96875,32
camera (4),0,1,0.9375,32
camera (5),0.375,0.625,0.625,32
camera (6),0.03125,0.96875,0.84375,32
camera (7),0.09375,0.90625,0.90625,32

camera (0),0,1,0.969697,33
camera (1),0,1,0.969697,33
camera (2),0,1,0.969697,33
camera (3),0,1,0.969697,33
camera (4),0,1,0.9090909,33
camera (5),0.3636364,0.6363636,0.6363636,33
camera (6),0.03030303,0.969697,0.8484849,33
camera (7),0.09090909,0.9090909,0.9090909,33

camera (0),0,1,0.9705882,34
camera (1),0,1,0.9705882,34
camera (2),0,1,0.9705882,34
camera (3),0,1,0.9705882,34
camera (4),0,1,0.9117647,34
camera (5),0.3529412,0.6470588,0.6470588,34
camera (6),0.02941176,0.9705882,0.8529412,34
camera (7),0.0882353,0.9117647,0.9117647,34

camera (0),0,1,0.9714286,35
camera (1),0,1,0.9714286,35
camera (2),0,1,0.9714286,35
camera (3),0,1,0.9714286,35
camera (4),0,1,0.9142857,35
camera (5),0.3428572,0.6571429,0.6571429,35
camera (6),0.02857143,0.9714286,0.8571429,35
camera (7),0.08571429,0.9142857,0.9142857,35

camera (0),0,1,0.9722222,36
camera (1),0,1,0.9722222,36
camera (2),0,1,0.9722222,36
camera (3),0,1,0.9722222,36
camera (4),0,1,0.9166667,36
camera (5),0.3333333,0.6666667,0.6666667,36
camera (6),0.02777778,0.9722222,0.8611111,36
camera (7),0.08333334,0.9166667,0.9166667,36

camera (0),0,1,0.972973,37
camera (1),0,1,0.972973,37
camera (2),0,1,0.972973,37
camera (3),0,1,0.972973,37
camera (4),0,1,0.9189189,37
camera (5),0.3243243,0.6756757,0.6756757,37
camera (6),0.02702703,0.972973,0.8648649,37
camera (7),0.08108108,0.9189189,0.9189189,37

camera (0),0,1,0.9736842,38
camera (1),0,1,0.9736842,38
camera (2),0,1,0.9736842,38
camera (3),0,1,0.9736842,38
camera (4),0,1,0.9210526,38
camera (5),0.3157895,0.6842105,0.6842105,38
camera (6),0.02631579,0.9736843,0.8684211,38
camera (7),0.07894737,0.9210526,0.9210526,38

camera (0),0,1,0.974359,39
camera (1),0,1,0.974359,39
camera (2),0,1,0.974359,39
camera (3),0,1,0.974359,39
camera (4),0,1,0.8974359,39
camera (5),0.3076923,0.6923077,0.6923077,39
camera (6),0.02564103,0.974359,0.8717949,39
camera (7),0.07692308,0.9230769,0.9230769,39

camera (0),0,1,0.975,40
camera (1),0,1,0.975,40
camera (2),0.025,0.975,0.95,40
camera (3),0,1,0.975,40
camera (4),0,1,0.875,40
camera (5),0.3,0.7,0.7,40
camera (6),0.025,0.975,0.875,40
camera (7),0.075,0.925,0.925,40

camera (0),0,1,0.9756098,41
camera (1),0,1,0.9756098,41
camera (2),0.04878049,0.9512195,0.9268293,41
camera (3),0,1,0.9756098,41
camera (4),0,1,0.8780488,41
camera (5),0.2926829,0.7073171,0.7073171,41
camera (6),0.02439024,0.9756098,0.8780488,41
camera (7),0.07317073,0.9268293,0.9268293,41

camera (0),0,1,0.9761904,42
camera (1),0,1,0.9761904,42
camera (2),0.07142857,0.9285715,0.9047619,42
camera (3),0,1,0.9761904,42
camera (4),0,1,0.8809524,42
camera (5),0.2857143,0.7142857,0.7142857,42
camera (6),0.02380952,0.9761904,0.8809524,42
camera (7),0.07142857,0.9285714,0.9285714,42

camera (0),0,1,0.9767442,43
camera (1),0,1,0.9767442,43
camera (2),0.09302326,0.9069768,0.8837209,43
camera (3),0,1,0.9767442,43
camera (4),0,1,0.8604651,43
camera (5),0.2790698,0.7209302,0.7209302,43
camera (6),0.02325581,0.9767442,0.8837209,43
camera (7),0.06976745,0.9302326,0.9302326,43

camera (0),0,1,0.9772727,44
camera (1),0,1,0.9772727,44
camera (2),0.1136364,0.8863636,0.8636364,44
camera (3),0,1,0.9772727,44
camera (4),0,1,0.8409091,44
camera (5),0.2727273,0.7272727,0.7272727,44
camera (6),0.02272727,0.9772727,0.8863636,44
camera (7),0.06818182,0.9318182,0.9318182,44

camera (0),0,1,0.9777778,45
camera (1),0,1,0.9777778,45
camera (2),0.1333333,0.8666667,0.8444445,45
camera (3),0,1,0.9777778,45
camera (4),0,1,0.8222222,45
camera (5),0.2666667,0.7333333,0.7333333,45
camera (6),0.02222222,0.9777778,0.8888889,45
camera (7),0.06666667,0.9333333,0.9333333,45

camera (0),0,1,0.9782609,46
camera (1),0,1,0.9782609,46
camera (2),0.1521739,0.8478261,0.8260869,46
camera (3),0,1,0.9782609,46
camera (4),0,1,0.8043478,46
camera (5),0.2608696,0.7391304,0.7391304,46
camera (6),0.02173913,0.9782609,0.8913044,46
camera (7),0.06521739,0.9347826,0.9347826,46

camera (0),0,1,0.9787234,47
camera (1),0,1,0.9787234,47
camera (2),0.1702128,0.8297873,0.8085107,47
camera (3),0,1,0.9787234,47
camera (4),0,1,0.7872341,47
camera (5),0.2553191,0.7446808,0.7446808,47
camera (6),0.0212766,0.9787234,0.893617,47
camera (7),0.06382979,0.9361702,0.9361702,47

camera (0),0,1,0.9791667,48
camera (1),0,1,0.9791667,48
camera (2),0.1875,0.8125,0.7916667,48
camera (3),0,1,0.9791667,48
camera (4),0,1,0.7708333,48
camera (5),0.25,0.75,0.75,48
camera (6),0.02083333,0.9791666,0.8958333,48
camera (7),0.0625,0.9375,0.9375,48

camera (0),0,1,0.9795918,49
camera (1),0,1,0.9795918,49
camera (2),0.2040816,0.7959183,0.7755102,49
camera (3),0,1,0.9795918,49
camera (4),0,1,0.755102,49
camera (5),0.244898,0.755102,0.755102,49
camera (6),0.02040816,0.9795918,0.8979592,49
camera (7),0.06122449,0.9387755,0.9387755,49

camera (0),0,1,0.98,50
camera (1),0,1,0.98,50
camera (2),0.22,0.78,0.76,50
camera (3),0,1,0.98,50
camera (4),0,1,0.74,50
camera (5),0.24,0.76,0.76,50
camera (6),0.02,0.98,0.9,50
camera (7),0.06,0.94,0.94,50

camera (0),0,1,0.9803922,51
