"camera Name	",not being in acceptaptable eyesight range,being in acceptaptable eyesight range(50 degree),C column+line of sight,steps Number
camera (2),0.943662,0.05633803,0.04929578,142
camera (3),0,1,0.915493,142
camera (4),0,1,0.09859155,142
camera (5),0.09859155,0.9014084,0.4366197,142
camera (6),0.007042253,0.9929577,0.2323944,142
camera (7),0.007042253,0.9929577,0.3661972,142

camera (0),0,1,0.7132867,143
camera (1),0,1,0.7762238,143
camera (2),0.9440559,0.05594406,0.04895105,143
camera (3),0,1,0.9160839,143
camera (4),0,1,0.0979021,143
camera (5),0.0979021,0.9020979,0.4405594,143
camera (6),0.006993007,0.993007,0.2307692,143
camera (7),0.006993007,0.993007,0.3636364,143

camera (0),0,1,0.7152778,144
camera (1),0,1,0.7777778,144
camera (2),0.9444444,0.05555556,0.04861111,144
camera (3),0,1,0.9166667,144
camera (4),0,1,0.09722222,144
camera (5),0.09722222,0.9027778,0.4444444,144
camera (6),0.006944444,0.9930556,0.2291667,144
camera (7),0.006944444,0.9930555,0.3611111,144

camera (0),0,1,0.7172414,145
camera (1),0,1,0.7793103,145
camera (2),0.9448276,0.05517241,0.04827586,145
camera (3),0,1,0.9172414,145
camera (4),0,1,0.09655172,145
camera (5),0.09655172,0.9034483,0.4482759,145
camera (6),0.006896552,0.9931034,0.2275862,145
camera (7),0.006896552,0.9931034,0.3586207,145

camera (0),0,1,0.7191781,146
camera (1),0,1,0.7808219,146
camera (2),0.9452055,0.05479452,0.04794521,146
camera (3),0,1,0.9178082,146
camera (4),0,1,0.09589041,146
camera (5),0.09589041,0.9041096,0.4520548,146
camera (6),0.006849315,0.9931507,0.2260274,146
camera (7),0.006849315,0.9931507,0.3630137,146

camera (0),0,1,0.7210884,147
camera (1),0,1,0.7823129,147
camera (2),0.9455782,0.05442177,0.04761905,147
camera (3),0,1,0.9183673,147
camera (4),0,1,0.0952381,147
camera (5),0.0952381,0.9047619,0.4557823,147
camera (6),0.006802721,0.9931973,0.2244898,147
camera (7),0.006802721,0.9931973,0.3673469,147

camera (0),0,1,0.722973,148
camera (1),0,1,0.7837838,148
camera (2),0.9459459,0.05405406,0.0472973,148
camera (3),0,1,0.9189189,148
camera (4),0,1,0.0945946,148
camera (5),0.0945946,0.9054054,0.4594595,148
camera (6),0.006756757,0.9932433,0.222973,148
camera (7),0.006756757,0.9932432,0.3716216,148

camera (0),0,1,0.7248322,149
camera (1),0,1,0.7852349,149
camera (2),0.9463087,0.05369128,0.04697987,149
camera (3),0,1,0.9194631,149
camera (4),0,1,0.09395973,149
camera (5),0.09395973,0.9060403,0.4630873,149
camera (6),0.006711409,0.9932886,0.2214765,149
camera (7),0.006711409,0.9932886,0.3758389,149

camera (0),0,1,0.7266667,150
camera (1),0,1,0.7866667,150
camera (2),0.9466667,0.05333333,0.04666667,150
camera (3),0,1,0.92,150
camera (4),0,1,0.09333333,150
camera (5),0.09333333,0.9066666,0.4666667,150
camera (6),0.006666667,0.9933333,0.22,150
camera (7),0.006666667,0.9933333,0.38,150

camera (0),0,1,0.7284768,151
camera (1),0,1,0.7880794,151
camera (2),0.9470199,0.05298013,0.04635762,151
camera (3),0,1,0.9205298,151
camera (4),0,1,0.09271523,151
camera (5),0.09271523,0.9072847,0.4701987,151
camera (6),0.006622517,0.9933775,0.2185431,151
camera (7),0.006622517,0.9933774,0.384106,151

camera (0),0,1,0.7302632,152
camera (1),0,1,0.7894737,152
camera (2),0.9473684,0.05263158,0.04605263,152
camera (3),0,1,0.9210526,152
camera (4),0,1,0.09210526,152
camera (5),0.09210526,0.9078947,0.4736842,152
camera (6),0.006578947,0.9934211,0.2171053,152
camera (7),0.006578947,0.9934211,0.3881579,152

camera (0),0,1,0.7320262,153
camera (1),0,1,0.7908497,153
camera (2),0.9477124,0.05228758,0.04575163,153
camera (3),0,1,0.9215686,153
camera (4),0,1,0.09150327,153
camera (5),0.09150327,0.9084967,0.4771242,153
camera (6),0.006535948,0.9934641,0.2156863,153
camera (7),0.006535948,0.9934641,0.3921569,153

camera (0),0,1,0.7337663,154
camera (1),0,1,0.7922078,154
camera (2),0.9480519,0.05194805,0.04545455,154
camera (3),0,1,0.9220779,154
camera (4),0,1,0.09090909,154
camera (5),0.09090909,0.9090909,0.4805195,154
camera (6),0.006493506,0.9935065,0.2142857,154
camera (7),0.006493506,0.9935064,0.3961039,154

camera (0),0,1,0.7354839,155
camera (1),0,1,0.7935484,155
camera (2),0.9483871,0.05161291,0.04516129,155
camera (3),0,1,0.9225807,155
camera (4),0,1,0.09032258,155
camera (5),0.09032258,0.9096774,0.483871,155
camera (6),0.006451613,0.9935484,0.2129032,155
camera (7),0.006451613,0.9935484,0.4,155

camera (0),0,1,0.7371795,156
camera (1),0,1,0.7948718,156
camera (2),0.948718,0.05128205,0.0448718,156
camera (3),0,1,0.9230769,156
camera (4),0,1,0.08974359,156
camera (5),0.08974359,0.9102564,0.4871795,156
camera (6),0.006410256,0.9935898,0.2115385,156
camera (7),0.006410256,0.9935898,0.4038461,156

camera (0),0,1,0.7388535,157
camera (1),0,1,0.7961783,157
camera (2),0.9490446,0.05095541,0.04458599,157
camera (3),0,1,0.9235669,157
camera (4),0,1,0.08917198,157
camera (5),0.08917198,0.910828,0.4904459,157
camera (6),0.006369427,0.9936306,0.2101911,157
camera (7),0.006369427,0.9936306,0.4076433,157

camera (0),0,1,0.7405064,158
camera (1),0,1,0.7974684,158
camera (2),0.9493671,0.05063291,0.0443038,158
camera (3),0,1,0.9240506,158
camera (4),0,1,0.08860759,158
camera (5),0.08860759,0.9113924,0.4936709,158
camera (6),0.006329114,0.9936709,0.2088608,158
camera (7),0.006329114,0.9936709,0.4113924,158

camera (0),0,1,0.7421384,159
camera (1),0,1,0.7987421,159
camera (2),0.9496855,0.05031446,0.04402516,159
camera (3),0,1,0.9245283,159
camera (4),0,1,0.08805031,159
camera (5),0.08805031,0.9119497,0.4968553,159
camera (6),0.006289308,0.9937107,0.2075472,159
camera (7),0.006289308,0.9937108,0.4150943,159

camera (0),0,1,0.74375,160
camera (1),0,1,0.8,160
camera (2),0.95,0.05,0.04375,160
camera (3),0,1,0.925,160
camera (4),0,1,0.0875,160
camera (5),0.0875,0.9125,0.5,160
camera (6),0.00625,0.99375,0.20625,160
camera (7),0.00625,0.99375,0.41875,160

camera (0),0,1,0.7453416,161
camera (1),0,1,0.8012422,161
camera (2),0.9503106,0.04968944,0.04347826,161
camera (3),0,1,0.9254658,161
camera (4),0,1,0.08695652,161
camera (5),0.08695652,0.9130435,0.5031056,161
camera (6),0.00621118,0.9937888,0.2049689,161
camera (7),0.00621118,0.9937888,0.4223602,161

camera (0),0,1,0.7469136,162
camera (1),0,1,0.8024691,162
camera (2),0.9506173,0.04938272,0.04320988,162
camera (3),0,1,0.9259259,162
camera (4),0,1,0.08641975,162
camera (5),0.08641975,0.9135802,0.5061728,162
camera (6),0.00617284,0.9938272,0.2037037,162
camera (7),0.00617284,0.9938272,0.4259259,162

camera (0),0,1,0.7484663,163
camera (1),0,1,0.803681,163
camera (2),0.9509202,0.04907975,0.04294479,163
camera (3),0,1,0.9263804,163
camera (4),0,1,0.08588957,163
camera (5),0.08588957,0.9141104,0.5092025,163
camera (6),0.006134969,0.993865,0.202454,163
camera (7),0.006134969,0.993865,0.4294479,163

camera (0),0,1,0.75,164
camera (1),0,1,0.8048781,164
camera (2),0.9512195,0.04878049,0.04268293,164
camera (3),0,1,0.9268293,164
camera (4),0,1,0.08536585,164
camera (5),0.08536585,0.9146341,0.5121951,164
camera (6),0.006097561,0.9939024,0.2012195,164
camera (7),0.006097561,0.9939024,0.4329268,164

camera (0),0,1,0.7515152,165
camera (1),0,1,0.8060606,165
camera (2),0.9515151,0.04848485,0.04242424,165
camera (3),0,1,0.9272727,165
camera (4),0,1,0.08484849,165
camera (5),0.08484849,0.9151515,0.5151515,165
camera (6),0.006060606,0.9939394,0.2,165
camera (7),0.006060606,0.9939394,0.4363636,165

camera (0),0,1,0.7530121,166
camera (1),0,1,0.8072289,166
camera (2),0.9518072,0.04819277,0.04216867,166
camera (3),0,1,0.9277108,166
camera (4),0,1,0.08433735,166
camera (5),0.08433735,0.9156626,0.5180723,166
camera (6),0.006024096,0.9939759,0.1987952,166
camera (7),0.006024096,0.9939759,0.433735,166

camera (0),0,1,0.754491,167
camera (1),0,1,0.8083832,167
camera (2),0.9520958,0.04790419,0.04191617,167
camera (3),0,1,0.9281437,167
camera (4),0,1,0.08383234,167
camera (5),0.08383234,0.9161676,0.5209581,167
camera (6),0.005988024,0.9940119,0.1976048,167
camera (7),0.005988024,0.994012,0.4311377,167

camera (0),0,1,0.7559524,168
camera (1),0,1,0.8095238,168
camera (2),0.952381,0.04761905,0.04166667,168
camera (3),0,1,0.9285714,168
camera (4),0,1,0.08333334,168
camera (5),0.08333334,0.9166667,0.5238096,168
camera (6),0.005952381,0.9940476,0.1964286,168
camera (7),0.005952381,0.9940476,0.4285714,168

camera (0),0,1,0.7573965,169
camera (1),0,1,0.8106509,169
camera (2),0.9526627,0.04733728,0.04142012,169
camera (3),0,1,0.9289941,169
camera (4),0,1,0.08284023,169
camera (5),0.08284023,0.9171598,0.5266272,169
camera (6),0.00591716,0.9940828,0.1952663,169
camera (7),0.00591716,0.9940828,0.4260355,169

camera (0),0,1,0.7588235,170
camera (1),0,1,0.8117647,170
camera (2),0.9529412,0.04705882,0.04117647,170
camera (3),0,1,0.9294118,170
camera (4),0,1,0.08235294,170
camera (5),0.08235294,0.9176471,0.5294118,170
camera (6),0.005882353,0.9941177,0.1941177,170
camera (7),0.005882353,0.9941176,0.4235294,170

camera (0),0,1,0.7602339,171
camera (1),0,1,0.8128655,171
camera (2),0.9532164,0.04678363,0.04093567,171
camera (3),0,1,0.9298246,171
camera (4),0,1,0.08187135,171
camera (5),0.08187135,0.9181286,0.5321637,171
camera (6),0.005847953,0.994152,0.1929825,171
camera (7),0.005847953,0.9941521,0.4210526,171

camera (0),0,1,0.7616279,172
camera (1),0,1,0.8139535,172
camera (2),0.9534883,0.04651163,0.04069768,172
camera (3),0,1,0.9302326,172
camera (4),0,1,0.08139535,172
camera (5),0.08139535,0.9186047,0.5348837,172
camera (6),0.005813953,0.994186,0.1918605,172
camera (7),0.005813953,0.994186,0.4244186,172

camera (0),0,1,0.7630058,173
camera (1),0,1,0.8150289,173
camera (2),0.9537572,0.04624277,0.04046243,173
camera (3),0,1,0.9306358,173
camera (4),0,1,0.08092485,173
camera (5),0.08092485,0.9190751,0.5375723,173
camera (6),0.005780347,0.9942197,0.1907514,173
camera (7),0.005780347,0.9942197,0.4277457,173

camera (0),0,1,0.7643678,174
camera (1),0,1,0.816092,174
camera (2),0.954023,0.04597701,0.04022989,174
camera (3),0,1,0.9310345,174
camera (4),0,1,0.08045977,174
camera (5),0.08045977,0.9195402,0.5402299,174
camera (6),0.005747126,0.9942529,0.1896552,174
camera (7),0.005747126,0.9942529,0.4310345,174

camera (0),0,1,0.7657143,175
camera (1),0,1,0.8171428,175
camera (2),0.9542857,0.04571429,0.04,175
camera (3),0,1,0.9314286,175
camera (4),0,1,0.08,175
camera (5),0.08,0.92,0.5428572,175
camera (6),0.005714286,0.9942857,0.1885714,175
camera (7),0.005714286,0.9942857,0.4342857,175

camera (0),0,1,0.7670454,176
camera (1),0,1,0.8181818,176
camera (2),0.9545454,0.04545455,0.03977273,176
camera (3),0,1,0.9318182,176
camera (4),0,1,0.07954545,176
camera (5),0.07954545,0.9204546,0.5454546,176
camera (6),0.005681818,0.9943182,0.1875,176
camera (7),0.005681818,0.9943182,0.4375,176

camera (0),0,1,0.7683616,177
camera (1),0,1,0.819209,177
camera (2),0.9548023,0.04519774,0.03954802,177
camera (3),0,1,0.9322034,177
camera (4),0,1,0.07909604,177
camera (5),0.07909604,0.920904,0.5480226,177
camera (6),0.005649718,0.9943503,0.1864407,177
camera (7),0.005649718,0.9943503,0.440678,177

camera (0),0,1,0.7696629,178
camera (1),0,1,0.8202247,178
camera (2),0.9550562,0.04494382,0.03932584,178
camera (3),0,1,0.9325843,178
camera (4),0,1,0.07865169,178
camera (5),0.07865169,0.9213483,0.5505618,178
camera (6),0.005617978,0.994382,0.1853933,178
camera (7),0.005617978,0.994382,0.4438202,178

camera (0),0,1,0.7709497,179
camera (1),0,1,0.821229,179
camera (2),0.9553072,0.04469274,0.03910615,179
camera (3),0,1,0.9329609,179
camera (4),0,1,0.07821229,179
camera (5),0.07821229,0.9217877,0.5530726,179
camera (6),0.005586592,0.9944134,0.1843575,179
camera (7),0.005586592,0.9944134,0.4469274,179

camera (0),0,1,0.7722222,180
camera (1),0,1,0.8222222,180
camera (2),0.9555556,0.04444445,0.03888889,180
camera (3),0,1,0.9333333,180
camera (4),0,1,0.07777778,180
camera (5),0.07777778,0.9222223,0.5555556,180
camera (6),0.005555556,0.9944444,0.1833333,180
camera (7),0.005555556,0.9944444,0.45,180

camera (0),0,1,0.7734807,181
camera (1),0,1,0.8232044,181
camera (2),0.9558011,0.0441989,0.03867403,181
camera (3),0,1,0.9337016,181
camera (4),0,1,0.07734807,181
camera (5),0.07734807,0.9226519,0.5580111,181
camera (6),0.005524862,0.9944751,0.1823204,181
camera (7),0.005524862,0.9944751,0.4530387,181

camera (0),0,1,0.7747253,182
camera (1),0,1,0.8241758,182
camera (2),0.956044,0.04395605,0.03846154,182
camera (3),0,1,0.9340659,182
camera (4),0,1,0.07692308,182
camera (5),0.07692308,0.923077,0.5604396,182
camera (6),0.005494506,0.9945055,0.1813187,182
camera (7),0.005494506,0.9945055,0.456044,182

camera (0),0,1,0.7759563,183
camera (1),0,1,0.8251366,183
camera (2),0.9562842,0.04371585,0.03825137,183
camera (3),0,1,0.9344262,183
camera (4),0,1,0.07650273,183
camera (5),0.07650273,0.9234973,0.5628415,183
camera (6),0.005464481,0.9945356,0.1803279,183
camera (7),0.005464481,0.9945355,0.4590164,183

camera (0),0,1,0.7771739,184
camera (1),0,1,0.8260869,184
camera (2),0.9565217,0.04347826,0.03804348,184
camera (3),0,1,0.9347826,184
camera (4),0,1,0.07608695,184
camera (5),0.07608695,0.923913,0.5652174,184
camera (6),0.005434783,0.9945652,0.1793478,184
camera (7),0.005434783,0.9945652,0.4619565,184

camera (0),0,1,0.7783784,185
camera (1),0,1,0.827027,185
camera (2),0.9567568,0.04324324,0.03783784,185
camera (3),0,1,0.9351351,185
camera (4),0,1,0.07567567,185
camera (5),0.07567567,0.9243243,0.5675676,185
camera (6),0.005405406,0.9945946,0.1783784,185
camera (7),0.005405406,0.9945946,0.4648649,185

camera (0),0,1,0.7795699,186
camera (1),0,1,0.827957,186
camera (2),0.9569892,0.04301075,0.03763441,186
camera (3),0,1,0.9354839,186
camera (4),0,1,0.07526882,186
camera (5),0.07526882,0.9247311,0.5698925,186
camera (6),0.005376344,0.9946237,0.1774193,186
camera (7),0.005376344,0.9946237,0.4677419,186

camera (0),0,1,0.7807487,187
camera (1),0,1,0.828877,187
camera (2),0.9572192,0.04278075,0.03743315,187
camera (3),0,1,0.9358289,187
camera (4),0,1,0.07486631,187
camera (5),0.07486631,0.9251337,0.5721925,187
camera (6),0.005347594,0.9946524,0.1764706,187
camera (7),0.005347594,0.9946524,0.4705882,187

camera (0),0,1,0.7819149,188
camera (1),0,1,0.8297873,188
camera (2),0.9574468,0.04255319,0.03723404,188
camera (3),0,1,0.9361702,188
camera (4),0,1,0.07446808,188
camera (5),0.07446808,0.9255319,0.5744681,188
camera (6),0.005319149,0.9946809,0.1755319,188
camera (7),0.005319149,0.9946809,0.4734043,188

camera (0),0,1,0.7830688,189
camera (1),0,1,0.8306878,189
camera (2),0.9576719,0.04232804,0.03703704,189
camera (3),0,1,0.9365079,189
camera (4),0,1,0.07407407,189
camera (5),0.07407407,0.925926,0.5767196,189
camera (6),0.005291005,0.994709,0.1746032,189
camera (7),0.005291005,0.994709,0.4761905,189

camera (0),0,1,0.7842105,190
camera (1),0,1,0.831579,190
camera (2),0.9578947,0.04210526,0.0368421,190
camera (3),0,1,0.9368421,190
camera (4),0,1,0.07368421,190
camera (5),0.07368421,0.9263158,0.5789474,190
camera (6),0.005263158,0.9947368,0.1736842,190
camera (7),0.005263158,0.9947368,0.4789474,190

camera (0),0,1,0.7853403,191
camera (1),0,1,0.8324608,191
camera (2),0.9581152,0.04188482,0.03664922,191
camera (3),0,1,0.9371728,191
camera (4),0,1,0.07329843,191
camera (5),0.07329843,0.9267015,0.5811518,191
camera (6),0.005235602,0.9947644,0.1727749,191
camera (7),0.005235602,0.9947644,0.4816754,191

camera (0),0,1,0.7864583,192
camera (1),0,1,0.8333333,192
camera (2),0.9583333,0.04166666,0.03645833,192
camera (3),0,1,0.9375,192
camera (4),0,1,0.07291666,192
camera (5),0.07291666,0.9270833,0.5833333,192
camera (6),0.005208333,0.9947917,0.171875,192
camera (7),0.005208333,0.9947917,0.484375,192

camera (0),0,1,0.7875648,193
camera (1),0,1,0.8341969,193
camera (2),0.9585492,0.04145078,0.03626943,193
camera (3),0,1,0.9378238,193
camera (4),0,1,0.07253886,193
camera (5),0.07253886,0.9274611,0.5854923,193
camera (6),0.005181347,0.9948186,0.1709845,193
camera (7),0.005181347,0.9948187,0.4870466,193

camera (0),0,1,0.7886598,194
camera (1),0,1,0.8350515,194
camera (2),0.9587629,0.04123711,0.03608247,194
camera (3),0,1,0.9381443,194
camera (4),0,1,0.07216495,194
camera (5),0.07216495,0.927835,0.5876288,194
camera (6),0.005154639,0.9948453,0.1701031,194
camera (7),0.005154639,0.9948453,0.4896907,194

camera (0),0,1,0.7897436,195
camera (1),0,1,0.8358974,195
camera (2),0.9589744,0.04102564,0.03589744,195
camera (3),0,1,0.9384615,195
camera (4),0,1,0.07179487,195
camera (5),0.07179487,0.9282051,0.5897436,195
camera (6),0.005128205,0.9948718,0.1692308,195
camera (7),0.005128205,0.9948719,0.4923077,195

camera (0),0,1,0.7908163,196
camera (1),0,1,0.8367347,196
camera (2),0.9591837,0.04081633,0.03571429,196
camera (3),0,1,0.9387755,196
camera (4),0,1,0.07142857,196
camera (5),0.07142857,0.9285715,0.5918368,196
camera (6),0.005102041,0.994898,0.1683673,196
camera (7),0.005102041,0.994898,0.494898,196

camera (0),0,1,0.7918782,197
camera (1),0,1,0.8375635,197
camera (2),0.9593909,0.04060914,0.035533,197
camera (3),0,1,0.9390863,197
camera (4),0,1,0.07106599,197
camera (5),0.07106599,0.928934,0.5939086,197
camera (6),0.005076142,0.9949238,0.1675127,197
camera (7),0.005076142,0.9949238,0.4974619,197

camera (0),0,1,0.7929293,198
camera (1),0,1,0.8383839,198
camera (2),0.959596,0.04040404,0.03535353,198
camera (3),0,1,0.9393939,198
camera (4),0,1,0.07070707,198
camera (5),0.07070707,0.9292929,0.5959596,198
camera (6),0.005050505,0.9949495,0.1666667,198
camera (7),0.005050505,0.9949495,0.5,198

camera (0),0,1,0.7939699,199
camera (1),0,1,0.839196,199
camera (2),0.959799,0.040201,0.03517588,199
camera (3),0,1,0.9396985,199
camera (4),0,1,0.07035176,199
camera (5),0.07035176,0.9296483,0.59799,199
camera (6),0.005025126,0.9949749,0.1658292,199
camera (7),0.005025126,0.9949749,0.5025126,199

camera (0),0,1,0.795,200
camera (1),0,1,0.84,200
camera (2),0.96,0.04,0.035,200
camera (3),0,1,0.94,200
camera (4),0,1,0.07,200
camera (5),0.07,0.9300001,0.6,200
camera (6),0.005,0.995,0.165,200
camera (7),0.005,0.995,0.505,200

camera (0),0,1,0.7960199,201
camera (1),0,1,0.840796,201
camera (2),0.960199,0.03980099,0.03482587,201
camera (3),0,1,0.9402985,201
camera (4),0,1,0.06965174,201
camera (5),0.06965174,0.9303483,0.60199,201
camera (6),0.004975124,0.9950249,0.1641791,201
camera (7),0.004975124,0.9950249,0.5074627,201

camera (0),0,1,0.7970297,202
camera (1),0,1,0.8415841,202
camera (2),0.9603961,0.03960396,0.03465347,202
camera (3),0,1,0.9405941,202
camera (4),0,1,0.06930693,202
camera (5),0.06930693,0.930693,0.6039604,202
camera (6),0.004950495,0.9950495,0.1633663,202
camera (7),0.004950495,0.9950495,0.509901,202

camera (0),0,1,0.7980295,203
camera (1),0,1,0.8423645,203
camera (2),0.9605911,0.03940887,0.03448276,203
camera (3),0,1,0.9408867,203
camera (4),0,1,0.06896552,203
camera (5),0.06896552,0.9310344,0.6059113,203
camera (6),0.004926108,0.9950739,0.1625616,203
camera (7),0.004926108,0.9950739,0.5123153,203

camera (0),0,1,0.7990196,204
camera (1),0,1,0.8431373,204
camera (2),0.9607843,0.03921569,0.03431373,204
camera (3),0,1,0.9411765,204
camera (4),0,1,0.06862745,204
camera (5),0.06862745,0.9313726,0.6078432,204
camera (6),0.004901961,0.995098,0.1617647,204
camera (7),0.004901961,0.9950981,0.5147059,204

camera (0),0,1,0.8,205
camera (1),0,1,0.8439025,205
camera (2),0.9609756,0.03902439,0.03414634,205
camera (3),0,1,0.9414634,205
camera (4),0,1,0.06829268,205
camera (5),0.06829268,0.9317073,0.6097561,205
camera (6),0.004878049,0.995122,0.1609756,205
camera (7),0.004878049,0.995122,0.5170732,205

camera (0),0,1,0.8009709,206
camera (1),0,1,0.8446602,206
camera (2),0.9611651,0.03883495,0.03398058,206
camera (3),0,1,0.9417475,206
camera (4),0,1,0.06796116,206
camera (5),0.06796116,0.9320388,0.6116505,206
camera (6),0.004854369,0.9951456,0.1601942,206
camera (7),0.004854369,0.9951456,0.5194175,206

camera (0),0,1,0.8019324,207
camera (1),0,1,0.8454106,207
camera (2),0.9613526,0.03864734,0.03381642,207
camera (3),0,1,0.942029,207
camera (4),0,1,0.06763285,207
camera (5),0.06763285,0.9323672,0.6135266,207
camera (6),0.004830918,0.9951691,0.1594203,207
camera (7),0.004830918,0.995169,0.5217391,207

camera (0),0,1,0.8028846,208
camera (1),0,1,0.8461539,208
camera (2),0.9615384,0.03846154,0.03365385,208
camera (3),0,1,0.9423077,208
camera (4),0,1,0.0673077,208
camera (5),0.0673077,0.9326923,0.6153846,208
camera (6),0.004807692,0.9951923,0.1586538,208
camera (7),0.004807692,0.9951923,0.5240384,208

camera (0),0,1,0.8038278,209
camera (1),0,1,0.84689,209
camera (2),0.9617225,0.03827751,0.03349282,209
camera (3),0,1,0.9425837,209
camera (4),0,1,0.06698564,209
camera (5),0.06698564,0.9330143,0.6172249,209
camera (6),0.004784689,0.9952153,0.1578947,209
camera (7),0.004784689,0.9952153,0.5263158,209

camera (0),0,1,0.8047619,210
camera (1),0,1,0.8476191,210
camera (2),0.9619048,0.03809524,0.03333334,210
camera (3),0,1,0.9428571,210
camera (4),0,1,0.06666667,210
camera (5),0.06666667,0.9333334,0.6190476,210
camera (6),0.004761905,0.9952381,0.1571429,210
camera (7),0.004761905,0.9952381,0.5285714,210

camera (0),0,1,0.8056872,211
camera (1),0,1,0.8483412,211
camera (2),0.9620853,0.03791469,0.03317536,211
camera (3),0,1,0.943128,211
camera (4),0,1,0.06635071,211
camera (5),0.06635071,0.9336493,0.6208531,211
camera (6),0.004739337,0.9952607,0.1563981,211
camera (7),0.004739337,0.9952607,0.5308057,211

camera (0),0,1,0.8066038,212
camera (1),0,1,0.8490566,212
camera (2),0.9622642,0.03773585,0.03301887,212
camera (3),0,1,0.9433962,212
camera (4),0,1,0.06603774,212
camera (5),0.06603774,0.9339622,0.6226415,212
camera (6),0.004716981,0.995283,0.1556604,212
camera (7),0.004716981,0.995283,0.5330189,212

camera (0),0,1,0.8075117,213
camera (1),0,1,0.8497652,213
camera (2),0.9624413,0.03755868,0.03286385,213
camera (3),0,1,0.943662,213
camera (4),0,1,0.0657277,213
camera (5),0.0657277,0.9342723,0.6244131,213
camera (6),0.004694836,0.9953052,0.1549296,213
camera (7),0.004694836,0.9953052,0.5352113,213

camera (0),0,1,0.8084112,214
camera (1),0,1,0.8504673,214
camera (2),0.9626168,0.03738318,0.03271028,214
camera (3),0,1,0.9439253,214
camera (4),0,1,0.06542056,214
camera (5),0.06542056,0.9345795,0.6261683,214
camera (6),0.004672897,0.9953271,0.1542056,214
camera (7),0.004672897,0.9953271,0.5373832,214

camera (0),0,1,0.8093023,215
camera (1),0,1,0.8511628,215
camera (2),0.9627907,0.0372093,0.03255814,215
camera (3),0,1,0.944186,215
camera (4),0,1,0.06511628,215
camera (5),0.06511628,0.9348837,0.627907,215
camera (6),0.004651163,0.9953488,0.1534884,215
camera (7),0.004651163,0.9953488,0.5395349,215

camera (0),0,1,0.8101852,216
camera (1),0,1,0.8518519,216
camera (2),0.962963,0.03703704,0.03240741,216
camera (3),0,1,0.9444444,216
camera (4),0,1,0.06481481,216
camera (5),0.06481481,0.9351852,0.6296296,216
camera (6),0.00462963,0.9953704,0.1527778,216
camera (7),0.00462963,0.9953704,0.5416667,216

camera (0),0,1,0.8110599,217
camera (1),0,1,0.8525345,217
camera (2),0.9631336,0.03686636,0.03225806,217
camera (3),0,1,0.9447005,217
camera (4),0,1,0.06451613,217
camera (5),0.06451613,0.9354838,0.6313364,217
camera (6),0.004608295,0.9953917,0.1520737,217
camera (7),0.004608295,0.9953917,0.5437788,217

camera (0),0,1,0.8119266,218
camera (1),0,1,0.853211,218
camera (2),0.9633027,0.03669725,0.03211009,218
camera (3),0,1,0.9449542,218
camera (4),0,1,0.06422018,218
camera (5),0.06422018,0.9357798,0.6330275,218
camera (6),0.004587156,0.9954128,0.1513761,218
camera (7),0.004587156,0.9954128,0.5458716,218

camera (0),0,1,0.8127854,219
camera (1),0,1,0.8538813,219
camera (2),0.9634703,0.03652968,0.03196347,219
camera (3),0,1,0.9452055,219
camera (4),0,1,0.06392694,219
camera (5),0.06392694,0.9360731,0.6347032,219
camera (6),0.00456621,0.9954338,0.1506849,219
camera (7),0.00456621,0.9954338,0.5479452,219

camera (0),0,1,0.8136364,220
camera (1),0,1,0.8545455,220
camera (2),0.9636363,0.03636364,0.03181818,220
camera (3),0,1,0.9454545,220
camera (4),0,1,0.06363636,220
camera (5),0.06363636,0.9363636,0.6363636,220
camera (6),0.004545454,0.9954545,0.15,220
camera (7),0.004545454,0.9954545,0.55,220

camera (0),0,1,0.8144796,221
camera (1),0,1,0.8552036,221
camera (2),0.9638009,0.0361991,0.03167421,221
camera (3),0,1,0.9457014,221
camera (4),0,1,0.06334842,221
camera (5),0.06334842,0.9366516,0.6380091,221
camera (6),0.004524887,0.9954751,0.1493213,221
camera (7),0.004524887,0.9954752,0.5520362,221

camera (0),0,1,0.8153153,222
camera (1),0,1,0.8558559,222
camera (2),0.963964,0.03603604,0.03153153,222
camera (3),0,1,0.9459459,222
camera (4),0,1,0.06306306,222
camera (5),0.06306306,0.9369369,0.6396396,222
camera (6),0.004504505,0.9954954,0.1486486,222
camera (7),0.004504505,0.9954956,0.5540541,222

camera (0),0,1,0.8161435,223
camera (1),0,1,0.8565022,223
camera (2),0.9641256,0.03587444,0.03139013,223
camera (3),0,1,0.9461883,223
camera (4),0,1,0.06278027,223
camera (5),0.06278027,0.9372197,0.6412556,223
camera (6),0.004484305,0.9955157,0.1479821,223
camera (7),0.004484305,0.9955157,0.5560538,223

camera (0),0,1,0.8169643,224
camera (1),0,1,0.8571429,224
camera (2),0.9642857,0.03571429,0.03125,224
camera (3),0,1,0.9464286,224
camera (4),0,1,0.0625,224
camera (5),0.0625,0.9375,0.6428571,224
camera (6),0.004464286,0.9955357,0.1473214,224
camera (7),0.004464286,0.9955357,0.5580357,224

camera (0),0,1,0.8177778,225
camera (1),0,1,0.8577778,225
camera (2),0.9644445,0.03555556,0.03111111,225
camera (3),0,1,0.9466667,225
camera (4),0,1,0.06222222,225
